nom,lat,long,pop
new york,40.7141667,-74.0063889,8107916.0
los angeles,34.0522222,-118.2427778,3877129.0
chicago,41.85,-87.65,2841952.0
houston,29.763055600000005,-95.3630556,2027712.0
philadelphia,39.9522222,-75.1641667,1453268.0
phoenix,33.4483333,-112.07333329999999,1428509.0
san diego,32.7152778,-117.1563889,1287050.0
san antonio,29.423888899999998,-98.4933333,1256810.0
dallas,32.783333299999995,-96.8,1211704.0
san jose,37.3394444,-121.8938889,897460.0
detroit,42.33138889999999,-83.0458333,884941.0
jacksonville,30.331944399999998,-81.6558333,797557.0
indianapolis,39.7683333,-86.1580556,773283.0
columbus,39.961111100000004,-82.99888890000003,736836.0
san francisco,37.775,-122.41833329999999,732072.0
austin,30.266944399999996,-97.7427778,678368.0
memphis,35.14944439999999,-90.04888890000002,641608.0
fort worth,32.7252778,-97.32055559999999,618119.0
baltimore,39.2902778,-76.6125,610892.0
charlotte,35.226944399999994,-80.8433333,598351.0
el paso,31.758611100000003,-106.4863889,597181.0
milwaukee,43.038888899999996,-87.90638890000002,579180.0
boston,42.3583333,-71.0602778,571281.0
seattle,47.6063889,-122.33083329999998,569369.0
denver,39.7391667,-104.98416670000002,555981.0
washington,38.895,-77.0366667,552433.0
portland,45.523611100000004,-122.675,540513.0
las vegas,36.175,-115.1363889,540111.0
oklahoma city,35.4675,-97.51611109999999,532950.0
nashville,36.165833299999996,-86.7844444,530852.0
tucson,32.2216667,-110.9258333,518907.0
albuquerque,35.084444399999995,-106.65055559999999,487378.0
long beach,33.76694439999999,-118.18833329999998,482618.0
sacramento,38.5816667,-121.49333329999999,467898.0
fresno,36.7477778,-119.77138889999999,465183.0
new orleans,29.954444399999996,-90.075,459336.0
mesa,33.4222222,-111.8219444,449878.0
cleveland,41.499444399999994,-81.69555559999998,449514.0
virginia beach,36.8527778,-75.9783333,449386.0
kansas city,39.0997222,-94.5783333,442028.0
kansas city,39.1141667,-94.6272222,442028.0
atlanta,33.7488889,-84.3880556,422908.0
san juan,18.4683333,-66.1061111,418140.0
omaha,41.2586111,-95.9375,413487.0
oakland,37.804444399999994,-122.2697222,394579.0
honolulu,21.3069444,-157.8583333,384241.0
miami,25.7738889,-80.1938889,382894.0
tulsa,36.1538889,-95.9925,382005.0
colorado springs,38.8338889,-104.8208333,373072.0
minneapolis,44.98,-93.26361109999999,367773.0
arlington,32.735555600000005,-97.1077778,367535.0
wichita,37.6922222,-97.33722220000001,355244.0
santa ana,33.7455556,-117.86694440000001,343054.0
raleigh,35.77194439999999,-78.63888890000001,338759.0
anaheim,33.8352778,-117.9136111,333689.0
tampa,27.947222200000002,-82.45861109999998,324465.0
saint louis,38.6272222,-90.1977778,320916.0
pittsburgh,40.4405556,-79.9961111,319494.0
toledo,41.663888899999996,-83.5552778,306974.0
cincinnati,39.161944399999996,-84.4569444,306382.0
aurora,39.7294444,-104.83138890000001,299780.0
riverside,33.9533333,-117.39527779999999,297554.0
bakersfield,35.3733333,-119.01777779999999,291389.0
stockton,37.9577778,-121.2897222,289580.0
corpus christi,27.8002778,-97.39611109999998,280382.0
newark,40.73555560000001,-74.17277779999998,280123.0
buffalo,42.8863889,-78.87861109999999,279557.0
anchorage,61.2180556,-149.90027780000003,276263.0
saint paul,44.944444399999995,-93.0930556,274792.0
lexington-fayette,38.0497222,-84.45861109999998,272079.0
plano,33.019722200000004,-96.6986111,253372.0
saint petersburg,27.770555600000005,-82.67944440000002,246316.0
norfolk,36.8466667,-76.2855556,246216.0
louisville,38.2541667,-85.7594444,243639.0
lincoln,40.8,-96.66666670000001,242072.0
glendale,33.538611100000004,-112.1852778,240112.0
henderson,36.0397222,-114.9811111,239757.0
jersey city,40.72805560000001,-74.0780556,237681.0
chandler,33.3061111,-111.84055559999999,234297.0
greensboro,36.0725,-79.79222220000003,231769.0
birmingham,33.5205556,-86.8025,231621.0
fort wayne,41.1305556,-85.1288889,229715.0
scottsdale,33.5091667,-111.89833329999999,225796.0
hialeah,25.8572222,-80.2783333,224840.0
madison,43.0730556,-89.4011111,224625.0
baton rouge,30.450555600000005,-91.1544444,223349.0
chesapeake,36.8188889,-76.2752778,219124.0
garland,32.9125,-96.63861109999999,217219.0
modesto,37.639166700000004,-120.99583329999999,216008.0
paradise,36.0972222,-115.14583329999999,215120.0
chula vista,32.64,-117.08333329999999,213032.0
lubbock,33.5777778,-101.85472220000001,211387.0
rochester,43.1547222,-77.61583329999998,211354.0
laredo,27.506111100000002,-99.5072222,210769.0
akron,41.08138889999999,-81.5191667,208414.0
orlando,28.538055600000003,-81.3794444,207970.0
durham,35.99388889999999,-78.8988889,204734.0
glendale,34.1425,-118.25416670000001,203201.0
fremont,37.548333299999996,-121.9875,202615.0
san bernardino,34.1083333,-117.2888889,202381.0
